LGA_NAME,event_count,total_fatalities,risk_score,latitude,longitude,pop_5_14
JALINGO,0,0,,8.942569869,11.33506869,0
GIREI,0,0,,9.441102407,12.48199742,0
YOLA NORTH,0,0,,9.250808485,12.44849639,0
YOLA SOUTH,0,0,,9.255493873,12.34776696,0
LAU,0,0,,9.178904985,11.40293187,0
DONGA,0,0,,7.635114618,10.24941964,0
MACHINA,0,0,,13.02845796,9.984632711,0
NGURU,0,0,,12.96093471,10.38625908,0
ALKALERI,0,0,,9.873148423,10.4808571,0
TAKUM,0,0,,7.116041162,9.906192804,0
USSA,0,0,,7.133479949,10.06098518,0
DAMBOA,0,0,,11.11047046,12.67879331,0
NUMAN,0,0,,9.446106306,11.80076792,0
BIU,0,0,,10.81082404,12.10842578,0
DIKWA,0,0,,11.92445222,14.04874353,0
LAMURDE,0,0,,9.562568063,11.69503838,0
MONGUNO,0,0,,12.551387,13.65033843,0
NGALA,0,0,,12.2930846,14.1573511,0
GUBIO,0,0,,12.65818779,12.76850636,0
CHIBOK,0,0,,10.84483819,12.85577762,0
GASHAKA,0,0,,7.494427074,11.37312286,0
BAUCHI,0,0,,10.23647048,9.904758683,0
HAWUL,0,0,,10.47141085,12.25944069,0
MAYO-BELWA,0,0,,8.998695838,11.95936661,0
MUBI SOUTH,0,0,,10.17947115,13.30684571,0
FUNE,0,0,,11.87800855,11.42459522,0
MOBBAR,0,0,,13.09743934,12.70292289,0
POTISKUM,0,0,,11.68144534,11.14622306,0
GWOZA,0,0,,11.15178793,13.53167189,0
GUZAMALA,0,0,,12.86589145,13.19802885,0
MAIHA,0,0,,9.850272051,13.16244253,0
GULANI,0,0,,10.9663865,11.70374294,0
ZING,0,0,,8.889781116,11.72834209,0
FUFORE,0,0,,9.198462905,12.64258414,0
KAGA,0,0,,11.60692515,12.5171684,0
KARIM LAMIDO,0,0,,9.177411616,10.87425878,0
KUKAWA,0,0,,13.06008953,13.71886051,0
GOMBI,0,0,,10.18929781,12.47252482,0
GUYUK,0,0,,9.840827213,11.90712617,0
TOUNGO,0,0,,7.97023188,11.8153777,0
SHANI,0,0,,10.18242809,11.94164503,0
YUNUSARI,0,0,,13.09610617,11.80698066,0
GANYE,0,0,,8.427012317,12.01667132,0
JADA,0,0,,8.672864958,12.43751029,0
BALI,0,0,,8.140913823,10.97793916,0
SHELLENG,0,0,,9.895092347,12.10600946,0
BAYO,0,0,,10.4253282,11.70177197,0
MAIDUGURI,0,0,,11.83599934,13.12756646,0
GUJBA,0,0,,11.39169714,11.97098521,0
NANGERE,0,0,,11.8287604,10.99017135,0
GANJUWA,0,0,,10.743255,10.00775053,0
NGANZAI,0,0,,12.47313644,13.14706946,0
SONG,0,0,,9.82270046,12.62121528,0
DAMATURU,0,0,,11.85313758,12.03369229,0
GEIDAM,0,0,,12.6796139,12.11029355,0
TARMUWA,0,0,,12.2629128,11.8227072,0
MADAGALI,0,0,,10.81476972,13.52152834,0
MICHIKA,0,0,,10.57989246,13.40994076,0
MUBI NORTH,0,0,,10.35547745,13.35194653,0
HONG,0,0,,10.3072071,12.9284614,0
KWAYA KUSAR,0,0,,10.47161633,11.88761202,0
BADE,0,0,,12.72384944,10.92991373,0
BAMA,0,0,,11.51818984,14.00557013,0
BURSARI,0,0,,12.71476411,11.4373564,0
MARTE,0,0,,12.40538735,13.84072978,0
ZAKI,0,0,,12.24269607,10.39193252,0
SHIRA,0,0,,11.46425398,10.01860153,0
DASS,0,0,,9.996576937,9.488511564,0
KIRFI,0,0,,10.40980232,10.52701921,0
ITAS/GADAU,0,0,,11.85262067,10.03452375,0
WARJI,0,0,,11.1423832,9.757623387,0
KATAGUM,0,0,,11.66013842,10.33871936,0
BOGORO,0,0,,9.630448682,9.609824315,0
FIKA,0,0,,11.34699809,11.25229651,0
GAMAWA,0,0,,12.03726763,10.61245803,0
WUKARI,0,0,,7.973685497,9.810389063,0
NINGI,0,0,,11.02923643,9.231207195,0
KURMI,0,0,,7.202073859,10.61879337,0
GIADE,0,0,,11.40871002,10.25093984,0
MISAU,0,0,,11.38183686,10.4836037,0
IBI,0,0,,8.34547854,9.806928646,0
KARASUWA,0,0,,12.97804411,10.76462209,0
TORO,0,0,,10.41017468,9.224994673,0
DARAZO,0,0,,11.13887117,10.62991727,0
JAKUSKO,0,0,,12.46210677,10.916009,0
YUSUFARI,0,0,,13.1852881,10.86836574,0
GASSOL,0,0,,8.47269266,10.55618333,0
DUKKU,0,0,,10.78642701,10.86131348,0
ABADAM,0,0,,13.40391532,13.31838126,0
SARDAUNA,0,0,,6.844801665,11.24119546,0
DEMSA,0,0,,9.398547927,12.00920773,0
MAFA,0,0,,11.98778556,13.55111375,0
AKKO,0,0,,10.10772889,11.03784059,0
FUNAKAYE,0,0,,10.78622098,11.37519016,0
BALANGA,0,0,,9.838041262,11.65119876,0
GOMBE,0,0,,10.30263175,11.18548755,0
BILLIRI,0,0,,9.830801895,11.12332987,0
MAGUMERI,0,0,,12.19361127,12.64760692,0
KWAMI,0,0,,10.49487807,11.18348541,0
KALTUNGO,0,0,,9.854563214,11.41874374,0
YAMALTU/DEBA,0,0,,10.26252307,11.47251274,0
NAFADA,0,0,,11.03642583,11.20906855,0
KONDUGA,0,0,,11.61505359,13.11436366,0
JERE,0,0,,11.94676337,13.16711028,0
